reviewId,content,score,at,thumbsUpCount,appVersion
a81fdddb-cf96-41b4-93e6-f0774a2a2c71,"instalnya diplaystore pas dibuka, keterangannya malah ""sumber/versi tidak dikenal""",2,2026-01-18,0,3.17.3
8e0c45a9-21f0-4f3d-9fd5-8a58e268415a,aplikasi ini sangat lengkap sehingga sangat membantu kita dalam menganalisis pergerakan saham,5,2026-01-18,0,3.17.3
fc619c42-821b-4a84-8e8d-7c5ae07dfebf,kalo udah ada hasil pasti saya kasih bintang 5,4,2026-01-18,0,3.17.3
fa82d6ee-7111-4058-89ce-3f15ed961fd8,"tinggal verifikasi nomor telepon aja dipersulit, tidak ada di kirim kirim password verifikasi sampe bekarat wak",1,2026-01-18,0,3.17.3
ae348f47-bc75-4ae9-9c20-4b5c90668f78,Terlalu sering maintenance! Sangat terganggu,4,2026-01-18,0,3.17.3
ee9d5892-72e9-4c3f-95c3-874e77f7ddf6,good banget,5,2026-01-18,0,3.17.3
a8ac78dc-4177-4aff-a0f6-e25ba801f947,media belajar,5,2026-01-18,0,3.17.3
8e879137-bb52-4dbe-b6dd-51464ed6087f,verifikasi saya sudah seminggu belum selesai2 juga lama banget sih,5,2026-01-18,0,3.17.3
afd263eb-06d6-42a7-93d1-da3aaa511464,"Saran dari saya, dihari sabtu dan minggu market tetap buka kecuali dihari libur nasional baru marketnya ditutup, kalo buka di hari Senin-Jumat saya tidak bisa melihat saham-saham saya yang naik/turun dikarenakan banyak pekerjaan",1,2026-01-17,0,3.17.3
12dadc3d-1ab4-432f-a620-e7abda3870a0,"kasih bintang 1 dulu karena udah mau seminggu daftar belum di acc parah lelet.. Update, karena sudah Acc saya kasih bintang 5 😂",5,2026-01-17,0,3.17.3
a4981e2d-f407-40f4-a027-82451b54b037,"kata tmn saya stockbit bagus bgt,semoga saya bisa mempelajari nya",5,2026-01-17,0,3.17.3
894c6b28-7cf8-4c5d-a53a-22568ae173b0,"verifikasi aku nya lama banget, udah seminggu lebih belum selesai",5,2026-01-17,0,3.17.3
b6e4b1ff-989e-4b56-b2cf-709f1f9c765e,lagi berusaha cari cuan disini,5,2026-01-17,0,3.17.3
b574aacb-c788-482d-a5f7-98019e2c88cc,Nice,5,2026-01-17,0,3.17.3
d13d80f1-18f1-42b6-a596-dd653a318010,layanan cs nya cepet banget,5,2026-01-17,0,3.17.3
15b38f18-e9ca-4a2e-9d9b-f2c0078d9dda,"saya dalam tahap belajar , dan aplikasi ini cocok untuk saya 👍.",5,2026-01-17,0,3.17.3
3a1759e3-db96-47f3-a1f2-3191efde91f5,"mantap,mudah dipahami,banyak senior yg ikhlas memberi arahan",5,2026-01-17,0,3.17.3
b2e3914e-c315-4dc7-8d3a-885107c22f74,Kepada Pihak Stokbit Mohon Jika Memverifikasi Akun Itu Di Percepat Ini Sudah 1 Minggu Akun Saya Belum Ter Verifikasi Ajah😔😔😔,5,2026-01-17,0,3.17.3
d3deec4d-9994-42b3-a38d-a572e1a7db10,bagus,5,2026-01-17,0,3.17.3
420c8dec-e72f-4a77-8902-82c374b73acd,"good apps, tq stockbit telah menemani perjalanan investasi saham saya..",5,2026-01-17,0,
22009ff3-a467-43e7-aa52-f527005ee303,👍🏻,5,2026-01-17,0,3.17.3
913d323c-42f2-44c3-90f0-1ea7401fe1bb,👍,5,2026-01-17,0,3.17.2
0be72677-69da-4933-8763-ba492307d5ea,bagus. user friendly mudah dipahami. semoga pengembangan kedepannya bisa untuk beli saham luar.,5,2026-01-17,0,
63bab603-6db9-449c-8feb-7b390cd94b06,sudah bisa,5,2026-01-17,0,3.17.3
81f80fe9-a053-4b49-a591-3e9c3c910433,masih belajar buat konsisten Saham,5,2026-01-17,0,3.17.3
31109151-dcf7-440f-a059-37d327ebf969,"Aplikasi udh bagus tapi sayang belum bisa mode landscape, bisa pakai mode landscape bagus banget buat pengguna tablet.",3,2026-01-17,0,3.17.3
7494e715-c5a3-48f1-8ae2-c48a025227eb,"bagus, enak dipahami",5,2026-01-16,0,3.17.3
